ebird_spp_code,ebird_com_name,ebird_sci_name,total_counted,historic_cbc_com_name,lon_filter,lat_filter,prov_state_filter,bcr_filter,add_nocturnal,add_feeder,survey_suitability
comloo,Common Loon,Gavia immer,670840,Common Loon,"-50,-180","90,20",!ZZ,!ZZ,0,0,medium
commer,Common Merganser,Mergus merganser,7795249,"Common Merganser,Common Merganser (Eurasian),Common Merganser (North American)","-50,-180","90,20",!ZZ,!ZZ,0,0,medium
commur,Common Murre,Uria aalge,2311319,Common Murre,"-50,-180","90,20",!ZZ,!ZZ,0,0,
commyn,Common Myna,Acridotheres tristis,1143,Common Myna,"-50,-180","90,20",!ZZ,!ZZ,0,0,
comnig,Common Nighthawk,Chordeiles minor,182,Common Nighthawk,"-50,-180","90,20",!ZZ,!ZZ,0,0,
compau,Common Pauraque,Nyctidromus albicollis,3616,Common Pauraque,"-50,-180","90,20",!ZZ,!ZZ,0,0,
compea,Indian Peafowl,Pavo cristatus,1704,"Indian Peafowl,Indian Peafowl (Domestic type)","-50,-180","90,20",!ZZ,!ZZ,0,0,
compoo,Common Poorwill,Phalaenoptilus nuttallii,278,Common Poorwill,"-50,-180","90,20",!ZZ,!ZZ,0,0,
comrav,Common Raven,Corvus corax,3550768,Common Raven,"-50,-180","90,20",!ZZ,!ZZ,0,0,low
comter,Common Tern,Sterna hirundo,8834,Common Tern,"-50,-180","90,20",!ZZ,!ZZ,0,0,
comyel,Common Yellowthroat,Geothlypis trichas,467592,"Common Yellowthroat,Common Yellowthroat (arizela Group),Common Yellowthroat (occidentalis Group),Common Yellowthroat (trichas Group)","-50,-180","90,20",!ZZ,!ZZ,0,0,
coohaw,Cooper's Hawk,Astur cooperii,271710,Cooper's Hawk,"-50,-180","90,20",!ZZ,!ZZ,0,0,
coshum,Costa's Hummingbird,Calypte costae,13368,Costa's Hummingbird,"-50,-180","90,20",!ZZ,!ZZ,0,0,
cowscj1,California Scrub-Jay,Aphelocoma californica,10000,"California Scrub-Jay,Florida Scrub-Jay,Island Scrub-Jay,Western Scrub-Jay,Western Scrub-Jay (Coastal),Western Scrub-Jay (Woodhouse's)","-50,-180","90,20","CA,OR,WA",!ZZ,0,0,
creauk,Crested Auklet,Aethia cristatella,23349,Crested Auklet,"-50,-180","90,20",!ZZ,!ZZ,0,0,
cremyn,Crested Myna,Acridotheres cristatellus,8600,Crested Myna,"-50,-180","90,20",!ZZ,!ZZ,0,0,
crithr,Crissal Thrasher,Toxostoma crissale,19775,Crissal Thrasher,"-50,-180","90,20",!ZZ,!ZZ,0,0,
cubthr,Curve-billed Thrasher,Toxostoma curvirostre,84549,Curve-billed Thrasher,"-50,-180","90,20",!ZZ,!ZZ,0,0,
daejun,Dark-eyed Junco,Junco hyemalis,6476746,"Dark-eyed Junco,Dark-eyed Junco (Gray-headed x Red-backed),Dark-eyed Junco (Gray-headed),Dark-eyed Junco (Oregon x Gray-headed),Dark-eyed Junco (Oregon x Pink-sided),Dark-eyed Junco (Oregon),Dark-eyed Junco (Pink-sided x Gray-headed),Dark-eyed Junco (Pink-sided),Dark-eyed Junco (Red-backed),Dark-eyed Junco (Slate-colored),Dark-eyed Junco (Slate-colored/Cassiar),Dark-eyed Junco (White-winged),Dark-eyed Junco (cismontanus)","-50,-180","90,20",!ZZ,!ZZ,0,0,medium
dickci,Dickcissel,Spiza americana,1586,Dickcissel,"-50,-180","90,20",!ZZ,!ZZ,0,0,
doccor,Double-crested Cormorant,Nannopterum auritum,14553960,"Double-crested Cormorant,Double-crested Cormorant (Dark-crested),Double-crested Cormorant (White-crested)","-50,-180","90,20",!ZZ,!ZZ,0,0,medium
doveki,Dovekie,Alle alle,296966,Dovekie,"-50,-180","90,20",!ZZ,!ZZ,0,0,low
dowwoo,Downy Woodpecker,Dryobates pubescens,3628831,"Downy Woodpecker,Downy Woodpecker (Eastern),Downy Woodpecker (Pacific),Downy Woodpecker (Rocky Mts.)","-50,-180","90,20",!ZZ,!ZZ,0,0,medium
dunlin,Dunlin,Calidris alpina,15800007,"Dunlin,Dunlin (alpina)","-50,-180","90,20",!ZZ,!ZZ,0,0,low
dusfly,Dusky Flycatcher,Empidonax oberholseri,1048,Dusky Flycatcher,"-50,-180","90,20",!ZZ,!ZZ,0,0,
dusgro,Dusky Grouse,Dendragapus obscurus,209,"Dusky Grouse,Dusky/Sooty Grouse,Sooty Grouse","-50,-180","90,20",!ZZ,"04,06,09,10,11,16,17,18,34,35",0,0,medium
eargre,Eared Grebe,Podiceps nigricollis,2181095,Eared Grebe,"-50,-180","90,20",!ZZ,!ZZ,0,0,low
easblu,Eastern Bluebird,Sialia sialis,3205727,"Eastern Bluebird,Eastern Bluebird (Eastern)","-50,-180","90,20",!ZZ,!ZZ,0,0,
easkin,Eastern Kingbird,Tyrannus tyrannus,340,Eastern Kingbird,"-50,-180","90,20",!ZZ,!ZZ,0,0,
easmea,Eastern Meadowlark,Sturnella magna,2479690,"Eastern Meadowlark,Eastern Meadowlark (Eastern),Eastern Meadowlark (Lilians)","-50,-180","90,20",!ZZ,!ZZ,0,0,
easowl1,Eastern Screech-Owl,Megascops asio,222106,"Eastern Screech-Owl,Eastern Screech-Owl (Northern),Western Screech-Owl","-50,-101.9999","90,20",!ZZ,!ZZ,1,0,medium
easpho,Eastern Phoebe,Sayornis phoebe,675474,Eastern Phoebe,"-50,-180","90,20",!ZZ,!ZZ,0,0,
eastow,Eastern Towhee,Pipilo erythrophthalmus,550944,"Eastern Towhee,Eastern Towhee (Red-eyed),Eastern Towhee (White-eyed),Spotted Towhee,Spotted Towhee (maculatus Group),Spotted Towhee (oregonus Group),Spotted/Eastern Towhee (Rufous-sided Towhee)","-50,-95.9999","90,20",!ZZ,!ZZ,0,0,
easwpw1,Eastern Whip-poor-will,Antrostomus vociferus,1610,Eastern Whip-poor-will,"-50,-180","90,20",!ZZ,!ZZ,0,0,
eawpew,Eastern Wood-Pewee,Contopus virens,103,Eastern Wood-Pewee,"-50,-180","90,20",!ZZ,!ZZ,0,0,
egygoo,Egyptian Goose,Alopochen aegyptiaca,10962,Egyptian Goose,"-50,-180","90,20",!ZZ,!ZZ,0,0,
eleter1,Elegant Tern,Thalasseus elegans,162,Elegant Tern,"-50,-180","90,20",!ZZ,!ZZ,0,0,
eletro,Elegant Trogon,Trogon elegans,171,Elegant Trogon,"-50,-180","90,20",!ZZ,!ZZ,0,0,
empgoo,Emperor Goose,Anser canagicus,112822,Emperor Goose,"-50,-180","90,20",!ZZ,!ZZ,0,0,
eucdov,Eurasian Collared-Dove,Streptopelia decaocto,1788745,Eurasian Collared-Dove,"-50,-180","90,20",!ZZ,!ZZ,0,0,low
eursta,European Starling,Sturnus vulgaris,446154180,European Starling,"-50,-180","90,20",!ZZ,!ZZ,0,0,
eurwig,Eurasian Wigeon,Mareca penelope,21139,Eurasian Wigeon,"-50,-180","90,20",!ZZ,!ZZ,0,0,medium
eutspa,Eurasian Tree Sparrow,Passer montanus,135721,Eurasian Tree Sparrow,"-50,-180","90,20",!ZZ,!ZZ,0,0,
evegro,Evening Grosbeak,Coccothraustes vespertinus,2272849,"Evening Grosbeak,Evening Grosbeak (type 1)","-50,-180","90,20",!ZZ,!ZZ,0,0,medium
ferhaw,Ferruginous Hawk,Buteo regalis,32934,Ferruginous Hawk,"-50,-180","90,20",!ZZ,!ZZ,0,0,medium
fiespa,Field Sparrow,Spizella pusilla,1354612,Field Sparrow,"-50,-180","90,20",!ZZ,!ZZ,0,0,
fiscro,Fish Crow,Corvus ossifragus,5147974,Fish Crow,"-50,-180","90,20",!ZZ,!ZZ,0,0,medium
flsjay,Florida Scrub-Jay,Aphelocoma coerulescens,9405,"Florida Scrub-Jay,California Scrub-Jay,Island Scrub-Jay,Western Scrub-Jay,Western Scrub-Jay (Coastal),Western Scrub-Jay (Woodhouse's)","-50,-180","90,20",FL,!ZZ,0,0,
forter,Forster's Tern,Sterna forsteri,1011024,Forster's Tern,"-50,-180","90,20",!ZZ,!ZZ,0,0,
foxspa,Fox Sparrow,Passerella iliaca,765577,"Fox Sparrow,Fox Sparrow (Red),Fox Sparrow (Slate-colored),Fox Sparrow (Sooty),Fox Sparrow (Thick-billed)","-50,-180","90,20",!ZZ,!ZZ,0,0,medium
fragul,Franklin's Gull,Leucophaeus pipixcan,14636,Franklin's Gull,"-50,-180","90,20",!ZZ,!ZZ,0,0,
fuwduc,Fulvous Whistling-Duck,Dendrocygna bicolor,21106,Fulvous Whistling-Duck,"-50,-180","90,20",!ZZ,!ZZ,0,0,
gadwal,Gadwall,Mareca strepera,7197261,"Gadwall,Gadwall (Common)","-50,-180","90,20",!ZZ,!ZZ,0,0,medium
gamqua,Gambel's Quail,Callipepla gambelii,603409,Gambel's Quail,"-50,-180","90,20",!ZZ,!ZZ,0,0,
gbbgul,Great Black-backed Gull,Larus marinus,4187578,Great Black-backed Gull,"-50,-180","90,20",!ZZ,!ZZ,0,0,medium
gcrfin,Gray-crowned Rosy-Finch,Leucosticte tephrocotis,278192,"Gray-crowned Rosy-Finch,Gray-crowned Rosy-Finch (Hepburns),Gray-crowned Rosy-Finch (Pribilof Is.)","-50,-180","90,20",!ZZ,!ZZ,0,0,low
gilfli,Gilded Flicker,Colaptes chrysoides,14645,Gilded Flicker,"-50,-180","90,20",!ZZ,!ZZ,0,0,
gilwoo,Gila Woodpecker,Melanerpes uropygialis,133479,Gila Woodpecker,"-50,-180","90,20",!ZZ,!ZZ,0,0,
glagul,Glaucous Gull,Larus hyperboreus,64117,Glaucous Gull,"-50,-180","90,20",!ZZ,!ZZ,0,0,low
gloibi,Glossy Ibis,Plegadis falcinellus,307659,Glossy Ibis,"-50,-180","90,20",!ZZ,!ZZ,0,0,
glwgul,Glaucous-winged Gull,Larus glaucescens,6384493,Glaucous-winged Gull,"-50,-180","90,20",!ZZ,!ZZ,0,0,medium
gnttow,Green-tailed Towhee,Pipilo chlorurus,26714,Green-tailed Towhee,"-50,-180","90,20",!ZZ,!ZZ,0,0,
gnwtea,Green-winged Teal,Anas crecca,3598597,"Green-winged Teal,Green-winged Teal (American),Green-winged Teal (Eurasian),Green-winged Teal (intergrade)","-50,-180","90,20",!ZZ,!ZZ,0,0,medium
gockin,Golden-crowned Kinglet,Regulus satrapa,2440648,Golden-crowned Kinglet,"-50,-180","90,20",!ZZ,!ZZ,0,0,medium
gocspa,Golden-crowned Sparrow,Zonotrichia atricapilla,2587572,Golden-crowned Sparrow,"-50,-180","90,20",!ZZ,!ZZ,0,0,medium
gofwoo,Golden-fronted Woodpecker,Melanerpes aurifrons,72843,Golden-fronted Woodpecker,"-50,-180","90,20",!ZZ,!ZZ,0,0,
goleag,Golden Eagle,Aquila chrysaetos,61513,Golden Eagle,"-50,-180","90,20",!ZZ,!ZZ,0,0,medium
gragoo,Graylag Goose,Anser anser,846,"Graylag Goose,Graylag Goose (Domestic type)","-50,-180","90,20",!ZZ,!ZZ,0,0,
graspa,Grasshopper Sparrow,Ammodramus savannarum,17992,Grasshopper Sparrow,"-50,-180","90,20",!ZZ,!ZZ,0,0,
grbani,Groove-billed Ani,Crotophaga sulcirostris,3862,Groove-billed Ani,"-50,-180","90,20",!ZZ,!ZZ,0,0,
grbher3,Great Blue Heron,Ardea herodias,8749,"Great Blue Heron,Great Blue Heron (Blue form),Great Blue Heron (White form),Great Blue Heron (Wurdemann's)","-50,-180","90,20",!ZZ,!ZZ,0,0,medium
grcfly,Great Crested Flycatcher,Myiarchus crinitus,10433,Great Crested Flycatcher,"-50,-180","90,20",!ZZ,!ZZ,0,0,
grecor,Great Cormorant,Phalacrocorax carbo,184490,Great Cormorant,"-50,-180","90,20",!ZZ,!ZZ,0,0,low
greegr,Great Egret,Ardea alba,1618131,"Great Egret,Great Egret (American)","-50,-180","90,20",!ZZ,!ZZ,0,0,
grefla2,American Flamingo,Phoenicopterus ruber,2983,"American Flamingo,American/Greater Flamingo","-50,-180","90,20",!ZZ,!ZZ,0,0,
grekis,Great Kiskadee,Pitangus sulphuratus,39087,Great Kiskadee,"-50,-180","90,20",!ZZ,!ZZ,0,0,
greroa,Greater Roadrunner,Geococcyx californianus,37859,Greater Roadrunner,"-50,-180","90,20",!ZZ,!ZZ,0,0,
gresca,Greater Scaup,Aythya marila,9404438,Greater Scaup,"-50,-180","90,20",!ZZ,!ZZ,0,0,low
greshe,Great Shearwater,Ardenna gravis,211,Great Shearwater,"-50,-180","90,20",!ZZ,!ZZ,0,0,
greyel,Greater Yellowlegs,Tringa melanoleuca,422554,Greater Yellowlegs,"-50,-180","90,20",!ZZ,!ZZ,0,0,low
grgowl,Great Gray Owl,Strix nebulosa,2094,"Great Gray Owl,Great Gray Owl (American)","-50,-180","90,20",!ZZ,!ZZ,1,0,low
grhowl,Great Horned Owl,Bubo virginianus,360564,"Great Horned Owl,Great Horned Owl (Great Horned)","-50,-180","90,20",!ZZ,!ZZ,1,0,medium
grnher,Green Heron,Butorides virescens,73882,"Green Heron,Green Heron (anthonyi)","-50,-180","90,20",!ZZ,!ZZ,0,0,
grnjay,Green Jay,Cyanocorax yncas,37503,Green Jay,"-50,-180","90,20",!ZZ,!ZZ,0,0,
grnkin,Green Kingfisher,Chloroceryle americana,3598,Green Kingfisher,"-50,-180","90,20",!ZZ,!ZZ,0,0,
grnpar,Green Parakeet,Psittacara holochlorus,18332,Green Parakeet,"-50,-180","90,20",!ZZ,!ZZ,0,0,
grpchi,Greater Prairie-Chicken,Tympanuchus cupido,21174,"Greater Prairie-Chicken,Greater Prairie-Chicken (Attwaters)","-50,-180","90,20",!ZZ,!ZZ,0,0,
grtgra,Great-tailed Grackle,Quiscalus mexicanus,11481551,Great-tailed Grackle,"-50,-180","90,20",!ZZ,!ZZ,0,0,
grycat,Gray Catbird,Dumetella carolinensis,333166,Gray Catbird,"-50,-180","90,20",!ZZ,!ZZ,0,0,
gryfly,Gray Flycatcher,Empidonax wrightii,5871,Gray Flycatcher,"-50,-180","90,20",!ZZ,!ZZ,0,0,
gryhaw2,Gray Hawk,Buteo plagiatus,688,Gray Hawk,"-50,-180","90,20",!ZZ,!ZZ,0,0,
gryjay,Canada Jay,Perisoreus canadensis,100000,"Canada Jay,Gray Jay,Gray Jay (Northern),Gray Jay (Pacific),Gray Jay (Rocky Mts.)","-50,-180","90,20",!ZZ,!ZZ,0,0,low
grypar,Gray Partridge,Perdix perdix,189797,Gray Partridge,"-50,-180","90,20",!ZZ,!ZZ,0,0,medium
gubter2,Gull-billed Tern,Gelochelidon nilotica,12506,Gull-billed Tern,"-50,-180","90,20",!ZZ,!ZZ,0,0,
gwfgoo,Greater White-fronted Goose,Anser albifrons,8448065,"Greater White-fronted Goose,Greater White-fronted Goose (Eurasian),Greater White-fronted Goose (Greenland),Greater White-fronted Goose (Western)","-50,-180","90,20",!ZZ,!ZZ,0,0,medium
gycthr,Gray-cheeked Thrush,Catharus minimus,105,Gray-cheeked Thrush,"-50,-180","90,20",!ZZ,!ZZ,0,0,
gyrfal,Gyrfalcon,Falco rusticolus,1268,Gyrfalcon,"-50,-180","90,20",!ZZ,!ZZ,0,0,low
haiwoo,Hairy Woodpecker,Dryobates villosus,1059786,"Hairy Woodpecker,Hairy Woodpecker (Eastern),Hairy Woodpecker (Pacific)","-50,-180","90,20",!ZZ,!ZZ,0,0,medium
hamfly,Hammond's Flycatcher,Empidonax hammondii,1618,Hammond's Flycatcher,"-50,-180","90,20",!ZZ,!ZZ,0,0,
harduc,Harlequin Duck,Histrionicus histrionicus,254886,Harlequin Duck,"-50,-180","90,20",!ZZ,!ZZ,0,0,medium
harspa,Harris's Sparrow,Zonotrichia querula,766800,Harris's Sparrow,"-50,-180","90,20",!ZZ,!ZZ,0,0,medium
heegul,Heermann's Gull,Larus heermanni,387413,Heermann's Gull,"-50,-180","90,20",!ZZ,!ZZ,0,0,low
henspa,Henslow's Sparrow,Centronyx henslowii,2637,Henslow's Sparrow,"-50,-180","90,20",!ZZ,!ZZ,0,0,
heptan,Hepatic Tanager,Piranga flava,491,Hepatic Tanager,"-50,-180","90,20",!ZZ,!ZZ,0,0,
herthr,Hermit Thrush,Catharus guttatus,703098,"Hermit Thrush,Hermit Thrush (guttatus Group)","-50,-180","90,20",!ZZ,!ZZ,0,0,medium
herwar,Hermit Warbler,Setophaga occidentalis,1345,Hermit Warbler,"-50,-180","90,20",!ZZ,!ZZ,0,0,
hilmyn,Common Hill Myna,Gracula religiosa,504,Common Hill Myna,"-50,-180","90,20",!ZZ,!ZZ,0,0,
hobkit,Hook-billed Kite,Chondrohierax uncinatus,119,Hook-billed Kite,"-50,-180","90,20",!ZZ,!ZZ,0,0,
hoomer,Hooded Merganser,Lophodytes cucullatus,2038911,Hooded Merganser,"-50,-180","90,20",!ZZ,!ZZ,0,0,medium
hooori,Hooded Oriole,Icterus cucullatus,690,Hooded Oriole,"-50,-180","90,20",!ZZ,!ZZ,0,0,
horgre,Horned Grebe,Podiceps auritus,910787,Horned Grebe,"-50,-180","90,20",!ZZ,!ZZ,0,0,medium
horlar,Horned Lark,Eremophila alpestris,8645841,"Horned Lark,Horned Lark (Atlas),Horned Lark (Eastern dark Group),Horned Lark (Western pale Group)","-50,-180","90,20",!ZZ,!ZZ,0,0,medium
houfin,House Finch,Haemorhous mexicanus,14985770,"House Finch,House Finch (Common)","-50,-180","90,20",!ZZ,!ZZ,0,0,low
houspa,House Sparrow,Passer domesticus,40810476,House Sparrow,"-50,-180","90,20",!ZZ,!ZZ,0,0,medium
houwre,Northern House Wren,Troglodytes aedon,285710,"Northern House Wren,House Wren,House Wren (Brown-throated),House Wren (Northern)","-50,-180","90,20",!ZZ,!ZZ,0,0,
hrshaw,Harris's Hawk,Parabuteo unicinctus,22536,Harris's Hawk,"-50,-180","90,20",!ZZ,!ZZ,0,0,
hutvir,Hutton's Vireo,Vireo huttoni,58207,"Hutton's Vireo,Hutton's Vireo (Interior),Hutton's Vireo (Pacific)","-50,-180","90,20",!ZZ,!ZZ,0,0,medium
incdov,Inca Dove,Columbina inca,194335,Inca Dove,"-50,-180","90,20",!ZZ,!ZZ,0,0,
indbun,Indigo Bunting,Passerina cyanea,7252,Indigo Bunting,"-50,-180","90,20",!ZZ,!ZZ,0,0,
juntit1,Juniper Titmouse,Baeolophus ridgwayi,15602,"Juniper Titmouse,Oak Titmouse,Oak/Juniper Titmouse (Plain Titmouse)","-50,-180","90,20",!CA,!ZZ,0,0,
killde,Killdeer,Charadrius vociferus,4700271,Killdeer,"-50,-180","90,20",!ZZ,!ZZ,0,0,
kineid,King Eider,Somateria spectabilis,8433,King Eider,"-50,-180","90,20",!ZZ,!ZZ,0,0,low
kinrai4,King Rail,Rallus elegans,22032,"King Rail,King Rail (Northern)","-50,-180","90,20",!ZZ,!ZZ,0,0,medium
labwoo,Ladder-backed Woodpecker,Dryobates scalaris,101990,Ladder-backed Woodpecker,"-50,-180","90,20",!ZZ,!ZZ,0,0,
laplon,Lapland Longspur,Calcarius lapponicus,2016311,Lapland Longspur,"-50,-180","90,20",!ZZ,!ZZ,0,0,low
larbun,Lark Bunting,Calamospiza melanocorys,619714,Lark Bunting,"-50,-180","90,20",!ZZ,!ZZ,0,0,
larspa,Lark Sparrow,Chondestes grammacus,514153,Lark Sparrow,"-50,-180","90,20",!ZZ,!ZZ,0,0,
laugul,Laughing Gull,Leucophaeus atricilla,9900711,Laughing Gull,"-50,-180","90,20",!ZZ,!ZZ,0,0,low
lawgol,Lawrence's Goldfinch,Spinus lawrencei,35075,Lawrence's Goldfinch,"-50,-180","90,20",!ZZ,!ZZ,0,0,
layalb,Laysan Albatross,Phoebastria immutabilis,169,Laysan Albatross,"-50,-180","90,20",!ZZ,!ZZ,0,0,
lazbun,Lazuli Bunting,Passerina amoena,1710,Lazuli Bunting,"-50,-180","90,20",!ZZ,!ZZ,0,0,
lbbgul,Lesser Black-backed Gull,Larus fuscus,52605,"Lesser Black-backed Gull,Lesser Black-backed Gull (graellsii),Lesser Black-backed Gull (taimyrensis)","-50,-180","90,20",!ZZ,!ZZ,0,0,medium
leaauk,Least Auklet,Aethia pusilla,190,Least Auklet,"-50,-180","90,20",!ZZ,!ZZ,0,0,
leabit,Least Bittern,Botaurus exilis,4815,Least Bittern,"-50,-180","90,20",!ZZ,!ZZ,0,0,
leafly,Least Flycatcher,Empidonax minimus,953,Least Flycatcher,"-50,-180","90,20",!ZZ,!ZZ,0,0,
leagre,Least Grebe,Tachybaptus dominicus,14355,Least Grebe,"-50,-180","90,20",!ZZ,!ZZ,0,0,
leasan,Least Sandpiper,Calidris minutilla,2882858,Least Sandpiper,"-50,-180","90,20",!ZZ,!ZZ,0,0,low
leater1,Least Tern,Sternula antillarum,853,Least Tern,"-50,-180","90,20",!ZZ,!ZZ,0,0,
lecspa,LeConte's Sparrow,Ammospiza leconteii,33590,"LeConte's Sparrow,Le Conte's Sparrow","-50,-180","90,20",!ZZ,!ZZ,0,0,medium
lecthr,LeConte's Thrasher,Toxostoma lecontei,1079,"LeConte's Thrasher,Le Conte's Thrasher","-50,-180","90,20",!ZZ,!ZZ,0,0,
lepchi,Lesser Prairie-Chicken,Tympanuchus pallidicinctus,1744,Lesser Prairie-Chicken,"-50,-180","90,20",!ZZ,!ZZ,0,0,
lesgol,Lesser Goldfinch,Spinus psaltria,1408977,Lesser Goldfinch,"-50,-180","90,20",!ZZ,!ZZ,0,0,
lesnig,Lesser Nighthawk,Chordeiles acutipennis,280,Lesser Nighthawk,"-50,-180","90,20",!ZZ,!ZZ,0,0,
lessca,Lesser Scaup,Aythya affinis,17728389,Lesser Scaup,"-50,-180","90,20",!ZZ,!ZZ,0,0,low
lesyel,Lesser Yellowlegs,Tringa flavipes,183498,Lesser Yellowlegs,"-50,-180","90,20",!ZZ,!ZZ,0,0,
lewwoo,Lewis's Woodpecker,Melanerpes lewis,41001,Lewis's Woodpecker,"-50,-180","90,20",!ZZ,!ZZ,0,0,low
libher,Little Blue Heron,Egretta caerulea,434649,Little Blue Heron,"-50,-180","90,20",!ZZ,!ZZ,0,0,
licpar,Lilac-crowned Amazon,Amazona finschi,3755,"Lilac-crowned Amazon,Lilac-crowned Parrot","-50,-180","90,20",!ZZ,!ZZ,0,0,
limpki,Limpkin,Aramus guarauna,26976,Limpkin,"-50,-180","90,20",!ZZ,!ZZ,0,0,
linspa,Lincoln's Sparrow,Melospiza lincolnii,346086,Lincoln's Sparrow,"-50,-180","90,20",!ZZ,!ZZ,0,0,medium
litgul,Little Gull,Hydrocoloeus minutus,1286,Little Gull,"-50,-180","90,20",!ZZ,!ZZ,0,0,medium
lobcur,Long-billed Curlew,Numenius americanus,464839,Long-billed Curlew,"-50,-180","90,20",!ZZ,!ZZ,0,0,
lobdow,Long-billed Dowitcher,Limnodromus scolopaceus,1655450,Long-billed Dowitcher,"-50,-180","90,20",!ZZ,!ZZ,0,0,
lobthr,Long-billed Thrasher,Toxostoma longirostre,16623,Long-billed Thrasher,"-50,-180","90,20",!ZZ,!ZZ,0,0,
